01 - Rental Details Rental ID,01 - Rental Details Local Start Time,01 - Rental Details Local End Time,01 - Rental Details Bike ID,01 - Rental Details Duration In Seconds Uncapped,03 - Rental Start Station ID,03 - Rental Start Station Name,02 - Rental End Station ID,02 - Rental End Station Name,User Type,Member Gender,05 - Member Details Member Birthday Year
22187280,2019-04-01 22:02:22,2019-04-01 22:28:33,3685,"1,571.0",100,Orleans St & Merchandise Mart Plaza,165,Clark St & Grace St,Subscriber,Male,1988
22187281,2019-04-01 22:03:04,2019-04-01 22:11:08,5802,484.0,108,Halsted St & Polk St,15,Racine Ave & 18th St,Subscriber,Male,1994
22187282,2019-04-01 22:03:06,2019-04-01 22:18:23,3361,917.0,197,Michigan Ave & Madison St,346,Ada St & Washington Blvd,Subscriber,Female,1984
22187283,2019-04-01 22:03:39,2019-04-01 22:09:10,6056,331.0,172,Rush St & Cedar St,110,Dearborn St & Erie St,Subscriber,Male,1987
22187284,2019-04-01 22:04:15,2019-04-01 22:13:36,3178,561.0,127,Lincoln Ave & Fullerton Ave,340,Clark St & Wrightwood Ave,Subscriber,Male,1979
22187285,2019-04-01 22:05:24,2019-04-01 22:14:04,5255,520.0,341,Adler Planetarium,341,Adler Planetarium,Customer,,
22187286,2019-04-01 22:06:23,2019-04-01 22:23:07,2131,"1,004.0",116,Western Ave & Winnebago Ave,493,Western Ave & Roscoe St,Subscriber,Male,1956
22187287,2019-04-01 22:06:27,2019-04-01 22:11:09,183,282.0,254,Pine Grove Ave & Irving Park Rd,304,Broadway & Waveland Ave,Subscriber,Male,1972
22187288,2019-04-01 22:08:17,2019-04-01 22:28:45,4433,"1,228.0",215,Damen Ave & Madison St,319,Greenview Ave & Diversey Pkwy,Subscriber,Male,1967
22187289,2019-04-01 22:08:27,2019-04-01 22:15:58,5408,451.0,605,University Library (NU),625,Chicago Ave & Dempster St,Subscriber,Male,1993
22187290,2019-04-01 22:09:47,2019-04-01 22:36:35,2631,"1,608.0",192,Canal St & Adams St,280,Morgan St & 31st St,Subscriber,Male,1984
22187291,2019-04-01 22:09:54,2019-04-01 22:16:14,5061,380.0,157,Lake Shore Dr & Wellington Ave,115,Sheffield Ave & Wellington Ave,Subscriber,Male,1992
22187292,2019-04-01 22:10:31,2019-04-01 22:28:38,3333,"1,087.0",337,Clark St & Chicago Ave,69,Damen Ave & Pierce Ave,Subscriber,Male,1987
22187293,2019-04-01 22:13:14,2019-04-01 22:23:52,2596,638.0,229,Southport Ave & Roscoe St,340,Clark St & Wrightwood Ave,Subscriber,Male,1993
22187294,2019-04-01 22:13:45,2019-04-01 22:17:30,6035,225.0,210,Ashland Ave & Division St,130,Damen Ave & Division St,Subscriber,Male,1990
22187295,2019-04-01 22:13:50,2019-04-01 22:17:00,479,190.0,117,Wilton Ave & Belmont Ave,296,Broadway & Belmont Ave,Subscriber,Female,1973
22187296,2019-04-01 22:14:10,2019-04-01 22:22:26,3229,496.0,107,Desplaines St & Jackson Blvd,320,Loomis St & Lexington St,Subscriber,Male,1997
22187299,2019-04-01 22:15:08,2019-04-01 22:38:09,6070,"1,381.0",210,Ashland Ave & Division St,129,Blue Island Ave & 18th St,Subscriber,Female,1995
22187300,2019-04-01 22:15:39,2019-04-01 22:24:52,6389,553.0,215,Damen Ave & Madison St,91,Clinton St & Washington Blvd,Subscriber,Male,1970
22187301,2019-04-01 22:16:16,2019-04-01 22:33:51,581,"1,055.0",91,Clinton St & Washington Blvd,116,Western Ave & Winnebago Ave,Subscriber,Male,1995
22187304,2019-04-01 22:17:20,2019-04-01 22:31:04,6169,824.0,344,Ravenswood Ave & Lawrence Ave,227,Southport Ave & Waveland Ave,Subscriber,Male,1986
22187307,2019-04-01 22:18:29,2019-04-01 22:36:28,2142,"1,079.0",176,Clark St & Elm St,219,Damen Ave & Cortland St,Subscriber,Male,1989
